asset_id,lbw,split,fragment_start_timestamp,fragment_end_timestamp,fragment_start_timeline_index,fragment_end_timeline_index,fragment_length,reason_code,dropped_sequence_count
LVMH,10,validation,2026-01-29T00:00:00,2026-02-19T00:00:00,1723,1738,16,TERMINAL_FRAGMENT_LT_63,0
EURCZK,10,train,2025-02-18T00:00:00,2025-02-28T00:00:00,2581,2589,9,TERMINAL_FRAGMENT_LT_63,0
EURCZK,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,2843,2843,1,MISSING_NEXT_RETURN,0
EURCZK,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,2842,2842,1,TERMINAL_FRAGMENT_LT_63,0
EURHUF,10,train,2024-12-12T00:00:00,2025-02-24T00:00:00,2581,2631,51,TERMINAL_FRAGMENT_LT_63,0
EURHUF,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,2889,2889,1,MISSING_NEXT_RETURN,0
EURHUF,10,validation,2026-02-16T00:00:00,2026-02-20T00:00:00,2884,2888,5,TERMINAL_FRAGMENT_LT_63,0
EURNOK,10,train,2024-09-23T00:00:00,2024-12-12T00:00:00,3022,3080,59,TERMINAL_FRAGMENT_LT_63,0
EURNOK,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,3388,3388,1,MISSING_NEXT_RETURN,0
EURNOK,10,validation,2025-12-04T00:00:00,2026-02-20T00:00:00,3333,3387,55,TERMINAL_FRAGMENT_LT_63,0
EURPLN,10,train,2024-12-16T00:00:00,2025-02-24T00:00:00,2581,2629,49,TERMINAL_FRAGMENT_LT_63,0
EURPLN,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,2887,2887,1,MISSING_NEXT_RETURN,0
EURPLN,10,validation,2026-02-16T00:00:00,2026-02-20T00:00:00,2882,2886,5,TERMINAL_FRAGMENT_LT_63,0
AUDCAD,10,train,2023-08-03T00:00:00,2023-09-01T00:00:00,6046,6067,22,TERMINAL_FRAGMENT_LT_63,0
AUDCAD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6707,6707,1,MISSING_NEXT_RETURN,0
AUDCAD,10,validation,2026-02-10T00:00:00,2026-02-20T00:00:00,6698,6706,9,TERMINAL_FRAGMENT_LT_63,0
AUDCHF,10,train,2023-08-11T00:00:00,2023-09-12T00:00:00,5983,6005,23,TERMINAL_FRAGMENT_LT_63,0
AUDCHF,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6638,6638,1,MISSING_NEXT_RETURN,0
AUDCHF,10,validation,2026-02-19T00:00:00,2026-02-20T00:00:00,6636,6637,2,TERMINAL_FRAGMENT_LT_63,0
AUDJPY,10,train,2023-06-27T00:00:00,2023-09-07T00:00:00,5983,6035,53,TERMINAL_FRAGMENT_LT_63,0
AUDJPY,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6671,6671,1,MISSING_NEXT_RETURN,0
AUDJPY,10,validation,2026-02-16T00:00:00,2026-02-20T00:00:00,6666,6670,5,TERMINAL_FRAGMENT_LT_63,0
AUDNZD,10,train,2023-09-11T00:00:00,2023-09-14T00:00:00,5983,5986,4,TERMINAL_FRAGMENT_LT_63,0
AUDNZD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6617,6617,1,MISSING_NEXT_RETURN,0
AUDUSD,10,train,2023-07-04T00:00:00,2023-08-30T00:00:00,6046,6087,42,TERMINAL_FRAGMENT_LT_63,0
AUDUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,6729,6729,1,MISSING_NEXT_RETURN,0
AUDUSD,10,validation,2026-02-06T00:00:00,2026-02-20T00:00:00,6718,6728,11,TERMINAL_FRAGMENT_LT_63,0
