asset_id,symbol,category,path_pattern,resolution_status,resolution_failure_reason,d_file_path,raw_header,timestamp_column,close_column,schema_status,schema_reason_code,raw_row_count,canonical_row_count,duplicate_identical_count,duplicate_conflict_count,source_sorted_ascending,canonical_first_timestamp,canonical_last_timestamp
DASHUSD,DASHUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/DASHUSD/D/DASHUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1918,1918,0,0,true,2020-11-11,2026-02-23
DOTUSD,DOTUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/DOTUSD/D/DOTUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1623,1623,0,0,true,2021-09-08,2026-02-23
ETCUSD,ETCUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/ETCUSD/D/ETCUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,3072,3072,0,0,true,2017-09-21,2026-02-23
ETHUSD,ETHUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/ETHUSD/D/ETHUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,3270,3270,0,0,true,2016-05-02,2026-02-23
LTCUSD,LTCUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/LTCUSD/D/LTCUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,5088,5088,0,0,true,2011-10-25,2026-02-23
SOLUSD,SOLUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/SOLUSD/D/SOLUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,296,296,0,0,true,2025-04-28,2026-02-23
XRPUSD,XRPUSD,Crypto I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto I CFD/XRPUSD/D/XRPUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,3385,3385,0,0,true,2016-05-16,2026-02-23
AAVUSD,AAVUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/AAVUSD/D/AAVUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1873,1873,0,0,true,2021-01-02,2026-02-23
ALGUSD,ALGUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/ALGUSD/D/ALGUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2312,2312,0,0,true,2019-09-19,2026-02-23
BARUSD,BARUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/BARUSD/D/BARUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1799,1799,0,0,true,2021-03-17,2026-02-23
BNBUSD,BNBUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/BNBUSD/D/BNBUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,3130,3130,0,0,true,2017-07-25,2026-02-23
DOGEUSD,DOGEUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/DOGEUSD/D/DOGEUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1623,1623,0,0,true,2021-09-08,2026-02-23
FETUSD,FETUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/FETUSD/D/FETUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,624,624,0,0,true,2024-06-04,2026-02-23
GALUSD,GALUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/GALUSD/D/GALUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1614,1614,0,0,true,2021-09-18,2026-02-23
GRTUSD,GRTUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/GRTUSD/D/GRTUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1872,1872,0,0,true,2021-01-02,2026-02-23
ICPUSD,ICPUSD,Crypto II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Crypto II CFD/ICPUSD/D/ICPUSD_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,624,624,0,0,true,2024-06-04,2026-02-23
