asset_id,symbol,category,path_pattern,d_file_path,raw_row_count,screened_row_count,first_timestamp,last_timestamp
AMZN,AMZN,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/AMZN/D/AMZN_data.csv,1714,1714,2019-03-04,2026-02-20
BABA,BABA,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/BABA/D/BABA_data.csv,1714,1714,2019-03-04,2026-02-20
BAC,BAC,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/BAC/D/BAC_data.csv,1714,1714,2019-03-04,2026-02-20
GOOG,GOOG,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/GOOG/D/GOOG_data.csv,1714,1714,2019-03-04,2026-02-20
META,META,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/META/D/META_data.csv,1714,1714,2019-03-04,2026-02-20
MSFT,MSFT,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/MSFT/D/MSFT_data.csv,5323,5323,2007-04-25,2026-02-20
NFLX,NFLX,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/NFLX/D/NFLX_data.csv,1714,1714,2019-03-04,2026-02-20
NVDA,NVDA,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/NVDA/D/NVDA_data.csv,1323,1323,2020-11-12,2026-02-20
PFE,PFE,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/PFE/D/PFE_data.csv,1714,1714,2019-03-04,2026-02-20
RACE,RACE,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/RACE/D/RACE_data.csv,1714,1714,2019-03-04,2026-02-20
T,T,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/T/D/T_data.csv,1714,1714,2019-03-04,2026-02-20
TSLA,TSLA,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/TSLA/D/TSLA_data.csv,1715,1715,2019-03-04,2026-02-20
V,V,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/V/D/V_data.csv,1714,1714,2019-03-04,2026-02-20
WMT,WMT,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/WMT/D/WMT_data.csv,1324,1324,2020-11-12,2026-02-20
ZM,ZM,Equities I CFD,category_symbol_d,data/FTMO Data/Equities I CFD/ZM/D/ZM_data.csv,1324,1324,2020-11-12,2026-02-20
AIRF,AIRF,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/AIRF/D/AIRF_data.csv,1741,1741,2019-03-04,2026-02-20
ALVG,ALVG,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/ALVG/D/ALVG_data.csv,1731,1731,2019-03-04,2026-02-20
BAYGn,BAYGn,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/BAYGn/D/BAYGn_data.csv,1732,1732,2019-03-04,2026-02-20
DBKGn,DBKGn,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/DBKGn/D/DBKGn_data.csv,1731,1731,2019-03-04,2026-02-20
IBE,IBE,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/IBE/D/IBE_data.csv,1739,1739,2019-03-04,2026-02-20
LVMH,LVMH,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/LVMH/D/LVMH_data.csv,1740,1740,2019-03-04,2026-02-20
VOWG_p,VOWG_p,Equities II CFD,category_symbol_d,data/FTMO Data/Equities II CFD/VOWG_p/D/VOWG_p_data.csv,1731,1731,2019-03-04,2026-02-20
EURCZK,EURCZK,Exotics,category_symbol_d,data/FTMO Data/Exotics/EURCZK/D/EURCZK_data.csv,2844,2844,2015-01-02,2026-02-23
