lbw,asset_id,state,rows_written,last_timestamp,retry_count,fallback_count,started_at,finished_at,output_path,error_message
63,AUDUSD,completed,6730,2026-02-23T00:00:00,3,0,2026-04-24T20:00:33Z,2026-04-24T20:00:33Z,artifacts/features/cpd/lbw_63/AUDUSD_cpd.csv,
126,AUDUSD,completed,6730,2026-02-23T00:00:00,0,0,2026-04-25T21:54:47Z,2026-04-25T21:54:47Z,artifacts/features/cpd/lbw_126/AUDUSD_cpd.csv,
252,AUDUSD,completed,6730,2026-02-23T00:00:00,0,0,2026-04-27T11:20:36Z,2026-04-27T11:20:36Z,artifacts/features/cpd/lbw_252/AUDUSD_cpd.csv,
10,AUS200.cash,completed,1780,2026-02-23T00:00:00,2,1,2026-04-23T08:09:04Z,2026-04-23T08:09:04Z,artifacts/features/cpd/lbw_10/AUS200.cash_cpd.csv,
21,AUS200.cash,completed,1780,2026-02-23T00:00:00,0,0,2026-04-23T22:38:27Z,2026-04-23T22:38:27Z,artifacts/features/cpd/lbw_21/AUS200.cash_cpd.csv,
63,AUS200.cash,completed,1780,2026-02-23T00:00:00,1,0,2026-04-24T20:00:36Z,2026-04-24T20:00:36Z,artifacts/features/cpd/lbw_63/AUS200.cash_cpd.csv,
126,AUS200.cash,completed,1780,2026-02-23T00:00:00,0,0,2026-04-25T21:54:51Z,2026-04-25T21:54:51Z,artifacts/features/cpd/lbw_126/AUS200.cash_cpd.csv,
252,AUS200.cash,completed,1780,2026-02-23T00:00:00,0,0,2026-04-27T11:20:39Z,2026-04-27T11:20:39Z,artifacts/features/cpd/lbw_252/AUS200.cash_cpd.csv,
10,AVAUSD,completed,1975,2026-02-23T00:00:00,2,1,2026-04-23T08:09:04Z,2026-04-23T08:09:04Z,artifacts/features/cpd/lbw_10/AVAUSD_cpd.csv,
21,AVAUSD,completed,1975,2026-02-23T00:00:00,7,0,2026-04-23T22:38:27Z,2026-04-23T22:38:27Z,artifacts/features/cpd/lbw_21/AVAUSD_cpd.csv,
63,AVAUSD,completed,1975,2026-02-23T00:00:00,0,0,2026-04-24T20:00:36Z,2026-04-24T20:00:36Z,artifacts/features/cpd/lbw_63/AVAUSD_cpd.csv,
126,AVAUSD,completed,1975,2026-02-23T00:00:00,0,0,2026-04-25T21:54:51Z,2026-04-25T21:54:51Z,artifacts/features/cpd/lbw_126/AVAUSD_cpd.csv,
252,AVAUSD,completed,1975,2026-02-23T00:00:00,0,0,2026-04-27T11:20:39Z,2026-04-27T11:20:39Z,artifacts/features/cpd/lbw_252/AVAUSD_cpd.csv,
10,BABA,completed,1714,2026-02-20T00:00:00,5,0,2026-04-23T08:09:07Z,2026-04-23T08:09:07Z,artifacts/features/cpd/lbw_10/BABA_cpd.csv,
21,BABA,completed,1714,2026-02-20T00:00:00,4,1,2026-04-23T22:38:30Z,2026-04-23T22:38:30Z,artifacts/features/cpd/lbw_21/BABA_cpd.csv,
63,BABA,completed,1714,2026-02-20T00:00:00,0,0,2026-04-24T20:00:40Z,2026-04-24T20:00:40Z,artifacts/features/cpd/lbw_63/BABA_cpd.csv,
126,BABA,completed,1714,2026-02-20T00:00:00,0,0,2026-04-25T21:54:54Z,2026-04-25T21:54:54Z,artifacts/features/cpd/lbw_126/BABA_cpd.csv,
252,BABA,completed,1714,2026-02-20T00:00:00,0,0,2026-04-27T11:20:39Z,2026-04-27T11:20:39Z,artifacts/features/cpd/lbw_252/BABA_cpd.csv,
10,BAC,completed,1714,2026-02-20T00:00:00,5,1,2026-04-23T08:09:07Z,2026-04-23T08:09:07Z,artifacts/features/cpd/lbw_10/BAC_cpd.csv,
21,BAC,completed,1714,2026-02-20T00:00:00,3,0,2026-04-23T22:38:30Z,2026-04-23T22:38:30Z,artifacts/features/cpd/lbw_21/BAC_cpd.csv,
63,BAC,completed,1714,2026-02-20T00:00:00,0,0,2026-04-24T20:00:40Z,2026-04-24T20:00:40Z,artifacts/features/cpd/lbw_63/BAC_cpd.csv,
126,BAC,completed,1714,2026-02-20T00:00:00,0,0,2026-04-25T21:54:54Z,2026-04-25T21:54:54Z,artifacts/features/cpd/lbw_126/BAC_cpd.csv,
252,BAC,completed,1714,2026-02-20T00:00:00,0,0,2026-04-27T11:20:42Z,2026-04-27T11:20:42Z,artifacts/features/cpd/lbw_252/BAC_cpd.csv,
10,BARUSD,completed,1799,2026-02-23T00:00:00,4,0,2026-04-23T08:09:10Z,2026-04-23T08:09:10Z,artifacts/features/cpd/lbw_10/BARUSD_cpd.csv,
21,BARUSD,completed,1799,2026-02-23T00:00:00,2,0,2026-04-23T22:38:33Z,2026-04-23T22:38:33Z,artifacts/features/cpd/lbw_21/BARUSD_cpd.csv,
63,BARUSD,completed,1799,2026-02-23T00:00:00,1,0,2026-04-24T20:00:43Z,2026-04-24T20:00:43Z,artifacts/features/cpd/lbw_63/BARUSD_cpd.csv,
126,BARUSD,completed,1799,2026-02-23T00:00:00,1,0,2026-04-25T21:54:57Z,2026-04-25T21:54:57Z,artifacts/features/cpd/lbw_126/BARUSD_cpd.csv,
252,BARUSD,completed,1799,2026-02-23T00:00:00,0,0,2026-04-27T11:20:42Z,2026-04-27T11:20:42Z,artifacts/features/cpd/lbw_252/BARUSD_cpd.csv,
10,BAYGn,completed,1732,2026-02-20T00:00:00,8,3,2026-04-23T08:09:10Z,2026-04-23T08:09:10Z,artifacts/features/cpd/lbw_10/BAYGn_cpd.csv,
21,BAYGn,completed,1732,2026-02-20T00:00:00,2,0,2026-04-23T22:38:33Z,2026-04-23T22:38:33Z,artifacts/features/cpd/lbw_21/BAYGn_cpd.csv,
63,BAYGn,completed,1732,2026-02-20T00:00:00,0,0,2026-04-24T20:00:43Z,2026-04-24T20:00:43Z,artifacts/features/cpd/lbw_63/BAYGn_cpd.csv,
126,BAYGn,completed,1732,2026-02-20T00:00:00,0,0,2026-04-25T21:54:57Z,2026-04-25T21:54:57Z,artifacts/features/cpd/lbw_126/BAYGn_cpd.csv,
252,BAYGn,completed,1732,2026-02-20T00:00:00,0,0,2026-04-27T11:20:42Z,2026-04-27T11:20:42Z,artifacts/features/cpd/lbw_252/BAYGn_cpd.csv,
10,BCHUSD,completed,3072,2026-02-23T00:00:00,14,0,2026-04-23T08:09:13Z,2026-04-23T08:09:13Z,artifacts/features/cpd/lbw_10/BCHUSD_cpd.csv,
21,BCHUSD,completed,3072,2026-02-23T00:00:00,2,1,2026-04-23T22:38:36Z,2026-04-23T22:38:36Z,artifacts/features/cpd/lbw_21/BCHUSD_cpd.csv,
63,BCHUSD,completed,3072,2026-02-23T00:00:00,0,0,2026-04-24T20:00:46Z,2026-04-24T20:00:46Z,artifacts/features/cpd/lbw_63/BCHUSD_cpd.csv,
126,BCHUSD,completed,3072,2026-02-23T00:00:00,0,0,2026-04-25T21:55:00Z,2026-04-25T21:55:00Z,artifacts/features/cpd/lbw_126/BCHUSD_cpd.csv,
252,BCHUSD,completed,3072,2026-02-23T00:00:00,1,0,2026-04-27T11:20:45Z,2026-04-27T11:20:45Z,artifacts/features/cpd/lbw_252/BCHUSD_cpd.csv,
10,BNBUSD,completed,3130,2026-02-23T00:00:00,9,1,2026-04-23T08:09:13Z,2026-04-23T08:09:13Z,artifacts/features/cpd/lbw_10/BNBUSD_cpd.csv,
21,BNBUSD,completed,3130,2026-02-23T00:00:00,4,1,2026-04-23T22:38:36Z,2026-04-23T22:38:36Z,artifacts/features/cpd/lbw_21/BNBUSD_cpd.csv,
63,BNBUSD,completed,3130,2026-02-23T00:00:00,0,0,2026-04-24T20:00:46Z,2026-04-24T20:00:46Z,artifacts/features/cpd/lbw_63/BNBUSD_cpd.csv,
126,BNBUSD,completed,3130,2026-02-23T00:00:00,1,0,2026-04-25T21:55:00Z,2026-04-25T21:55:00Z,artifacts/features/cpd/lbw_126/BNBUSD_cpd.csv,
252,BNBUSD,completed,3130,2026-02-23T00:00:00,0,0,2026-04-27T11:20:45Z,2026-04-27T11:20:45Z,artifacts/features/cpd/lbw_252/BNBUSD_cpd.csv,
