candidate_index,candidate_id,status,selected,best_validation_loss,failure_reason,dropout,hidden_size,minibatch_size,learning_rate,max_grad_norm,lbw,best_model_path,final_metadata_path
20,C-021,completed,false,-0.31898239254951477,,0.5,80,128,0.10000000000000001,100,63,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_020/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_020/final_metadata.json
21,C-022,completed,false,-0.3667818009853363,,0.20000000000000001,5,128,0.10000000000000001,0.01,21,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_021/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_021/final_metadata.json
22,C-023,completed,false,-0.44761353731155396,,0.40000000000000002,160,256,0.0001,0.01,252,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_022/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_022/final_metadata.json
23,C-024,completed,false,-0.38426005840301514,,0.5,80,64,0.0001,0.01,252,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_023/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_023/final_metadata.json
24,C-025,completed,false,-0.49073618650436401,,0.20000000000000001,40,128,0.0001,100,21,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_024/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_024/final_metadata.json
25,C-026,completed,false,-0.47612231969833374,,0.40000000000000002,80,64,0.001,1,63,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_025/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_025/final_metadata.json
26,C-027,completed,false,-0.40314772725105286,,0.5,10,128,0.001,1,10,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_026/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_026/final_metadata.json
27,C-028,completed,false,-0.52491146326065063,,0.10000000000000001,40,64,0.0001,100,63,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_027/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_027/final_metadata.json
28,C-029,completed,false,-0.36752611398696899,,0.10000000000000001,5,256,0.001,100,21,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_028/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_028/final_metadata.json
29,C-030,completed,false,-0.43824708461761475,,0.40000000000000002,10,256,0.01,100,252,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_029/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_029/final_metadata.json
30,C-031,completed,true,-0.54108327627182007,,0.5,20,64,0.01,100,63,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_030/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_030/final_metadata.json
31,C-032,completed,false,-0.3443603515625,,0.5,80,64,0.01,1,252,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_031/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_031/final_metadata.json
32,C-033,completed,false,-0.40827769041061401,,0.29999999999999999,20,128,0.0001,0.01,252,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_032/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_032/final_metadata.json
33,C-034,completed,false,-0.47034484148025513,,0.10000000000000001,80,64,0.001,0.01,21,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_033/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_033/final_metadata.json
34,C-035,completed,false,-0.32058271765708923,,0.40000000000000002,160,256,0.10000000000000001,1,10,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_034/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_034/final_metadata.json
35,C-036,completed,false,-0.48107513785362244,,0.40000000000000002,160,256,0.001,0.01,252,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_035/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_035/final_metadata.json
36,C-037,completed,false,-0.38566344976425171,,0.40000000000000002,160,64,0.01,100,126,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_036/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_036/final_metadata.json
37,C-038,completed,false,-0.32998085021972656,,0.40000000000000002,10,128,0.10000000000000001,100,63,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_037/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_037/final_metadata.json
38,C-039,completed,false,-0.38320717215538025,,0.40000000000000002,5,256,0.001,1,252,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_038/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_038/final_metadata.json
39,C-040,completed,false,-0.47003701329231262,,0.5,80,128,0.001,100,126,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_039/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_039/final_metadata.json
40,C-041,completed,false,-0.33613887429237366,,0.20000000000000001,20,64,0.10000000000000001,0.01,126,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_040/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_040/final_metadata.json
41,C-042,completed,false,-0.46335771679878235,,0.20000000000000001,80,128,0.0001,1,21,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_041/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_041/final_metadata.json
42,C-043,completed,false,-0.36399948596954346,,0.20000000000000001,80,256,0.10000000000000001,0.01,126,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_042/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_042/final_metadata.json
43,C-044,completed,false,-0.38617420196533203,,0.29999999999999999,5,128,0.0001,1,21,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_043/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_043/final_metadata.json
44,C-045,completed,false,-0.47782754898071289,,0.10000000000000001,20,64,0.01,1,21,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_044/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_044/final_metadata.json
45,C-046,completed,false,-0.41901326179504395,,0.20000000000000001,40,128,0.0001,0.01,10,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_045/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_045/final_metadata.json
46,C-047,completed,false,-0.49160036444664001,,0.40000000000000002,80,64,0.001,100,21,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_046/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_046/final_metadata.json
47,C-048,completed,false,-0.34511125087738037,,0.10000000000000001,40,256,0.10000000000000001,0.01,252,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_047/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_047/final_metadata.json
48,C-049,completed,false,-0.39464163780212402,,0.5,80,128,0.10000000000000001,0.01,126,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_048/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_048/final_metadata.json
49,C-050,completed,false,-0.46507492661476135,,0.29999999999999999,5,128,0.01,100,10,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_049/best_model.keras,/Users/bilalabdullajew/Arbeit/tradinglab/quantitive/Dev/Research/Slow Momentum with fast mean reversion/artifacts/training/candidates/candidate_049/final_metadata.json
