asset_id,lbw,signal_timestamp,next_day_position,candidate_id,model_path
NZDCHF,63,2026-02-23T00:00:00,-0.10996393114328384,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NZDJPY,63,2026-02-23T00:00:00,0.23461851477622986,C-031,artifacts/training/candidates/candidate_030/best_model.keras
NZDUSD,63,2026-02-23T00:00:00,0.096755221486091614,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDCAD,63,2026-02-23T00:00:00,-0.049372293055057526,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDCHF,63,2026-02-23T00:00:00,-0.05733967199921608,C-031,artifacts/training/candidates/candidate_030/best_model.keras
USDJPY,63,2026-02-23T00:00:00,-0.061915989965200424,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAGAUD,63,2026-02-23T00:00:00,0.3109276294708252,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAGEUR,63,2026-02-23T00:00:00,0.28206759691238403,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAGUSD,63,2026-02-23T00:00:00,0.34457138180732727,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAUAUD,63,2026-02-23T00:00:00,0.38225463032722473,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAUEUR,63,2026-02-23T00:00:00,0.43177691102027893,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XAUUSD,63,2026-02-23T00:00:00,0.33054310083389282,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XPDUSD,63,2026-02-23T00:00:00,0.2208949476480484,C-031,artifacts/training/candidates/candidate_030/best_model.keras
XPTUSD,63,2026-02-23T00:00:00,0.2852378785610199,C-031,artifacts/training/candidates/candidate_030/best_model.keras
